offer_result,offer_semester,offer_college_name,offer_professional,user_under_school,user_under_gpa,user_under_subject,user_graduate_school,user_graduate_gpa,user_graduate_subject
0,2022 Fall,Nanyang Technological University,Computer Science,211 & 985,保研末流水平,集成电路设计与集成系统,,,
0,2022 Fall,Nanyang Technological University,Computer Control &amp; Automatics,,78+,自动化,,,
0,2022 Spring,Nanyang Technological University,Computer and Information Studies,211 & 985,3.6,英语翻译,曼彻斯特大学,distinction,教育技术
0,2022 Spring,Nanyang Technological University,Computer Science,985,3.57,,NTU,4.95,
0,2021 Fall,Nanyang Technological University 南洋理工大学,Computer Science 计算机科学,双非,77.97,机械设计制造及其自动化,香港城市大学,3.35/4.3,电子信息工程
0,2021 Fall,Nanyang Technological University,Computer Science,211 & 985,,,211 & 985,,
0,2021 Fall,Nanyang Technological University,computer control and automation,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,86.5/100,自动化,,,
0,2021 Fall,Nanyang Technological University,Computer Control and Automation,东南大学,84.14/100,自动化,,,
0,2021 Fall,Nanyang Technological University,computer control and automation,电子科技大学,84.3,自动化,,,
0,2021 Fall,Nanyang Technological University,computer control and automation,985,82,计算机科学,,,
0,2021 Fall,Nanyang Technological University,Computer Science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,计算机科学,,,
0,2021 Fall,Nanyang Technological University,Computer Science,211 & 985,GPA3.6+,电子信息工程,211 & 985,GPA3.6+,信息与通信工程
0,2020 Fall,Nanyang Technological University,Computer Control & Automation,双非,~30%,EE,,,
0,2021 Fall,Nanyang Technological University,Computer Control and Automation,211 & 985,86.1,车辆工程,,,
0,2021 Fall,Nanyang Technological University,computer control and automation,电子科技大学,GPA3.89  均分88 四舍五入89,EE,,,
0,2021 Spring,Nanyang Technological University,Computer Science,清华/北大/中科大,87/100,computer science,,,
0,2021 Spring,Nanyang Technological University,Computer and Information Studies,港澳,3.35,传播学,美国top30,3.71,信息学
0,2020 Fall,Nanyang Technological University,computer control and automation,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,88.88,电子信息,,,
0,2020 Fall,Nanyang Technological University,Computer Science,UESTC,3.77/4.0,集成电路设计与集成系统,,,
0,2020 Fall,Nanyang Technological University,Computer Control and Automation,211,3.61,智能运输工程,,,
0,2020 Fall,Nanyang Technological University,Computer Control and Automation,211,3.76/4.0,智能运输工程,,,
0,2020 Fall,Nanyang Technological University,Computer Science,211,,,,,
0,2020 Fall,Nanyang Technological University,Computer Control &amp; Automatics,211 & 985,80/100,自动化,,,
0,2020 Fall,Nanyang Technological University,Computer Control &amp; Automation,985&211,91.04/100,Vehicle Engineering,,,
0,2020 Fall,Nanyang Technological University,computer control &amp; automation,211 & 985,78.88,探测制导与控制技术,,,
0,2020 Fall,Nanyang Technological University,COMPUTER CONTROL &amp; AUTOMATION,211 & 985,87.6/100,EE,,,
0,2020 Fall,Nanyang Technological University,computer control &amp; automation,211 & 985,3.2/4,eee,,,
